Date,Open,High,Low,Close,TD Reference Close Up,TD Reference Close Down
07/12/17 11:00,141.21,141.25,141.16,141.16,141.34,
07/12/17 10:00,141.21,141.27,141.21,141.27,141.34,
07/12/17 09:00,141.36,141.36,141.34,141.34,141.53,141.21
07/12/17 08:00,141.39,141.42,141.29,141.34,141.53,141.21
07/12/17 07:00,141.32,141.33,141.25,141.33,141.53,141.21
06/12/17 17:00,141.21,141.32,141.21,141.27,141.53,
06/12/17 16:00,141.33,141.33,141.12,141.21,141.53,
06/12/17 15:00,141.53,141.57,141.31,141.32,,141.37
06/12/17 14:00,141.42,141.58,141.38,141.53,141.73,141.37
06/12/17 13:00,141.36,141.49,141.36,141.42,141.73,
06/12/17 12:00,141.43,141.43,141.28,141.37,141.73,141.37
06/12/17 11:00,141.5,141.53,141.39,141.44,141.73,141.37
06/12/17 10:00,141.73,141.77,141.47,141.47,,141.37
06/12/17 09:00,141.57,141.74,141.53,141.73,,141.37
06/12/17 08:00,141.52,141.6,141.44,141.59,,141.32
06/12/17 07:00,141.45,141.66,141.35,141.53,,141.32
05/12/17 17:00,141.39,141.44,141.37,141.37,,141.32
05/12/17 16:00,141.33,141.42,141.3,141.39,141.37,141.26
05/12/17 15:00,141.32,141.45,141.25,141.33,141.37,141.26
05/12/17 14:00,141.37,141.39,141.26,141.32,141.42,141.26
05/12/17 13:00,141.26,141.38,141.22,141.37,141.42,
05/12/17 12:00,141.27,141.29,141.23,141.26,141.45,141.2
05/12/17 11:00,141.36,141.36,141.16,141.27,141.45,141.2
05/12/17 10:00,141.42,141.45,141.33,141.36,141.45,141.2
05/12/17 09:00,141.46,141.46,141.35,141.42,,141.2
05/12/17 08:00,141.35,141.46,141.29,141.45,,141.2
05/12/17 07:00,141.2,141.36,141.19,141.36,141.29,141.18
04/12/17 17:00,141.28,141.34,141.2,141.2,141.29,141.03
04/12/17 16:00,141.28,141.34,141.24,141.29,,141.03
04/12/17 15:00,141.18,141.29,141.13,141.28,141.27,141.03
04/12/17 14:00,141.07,141.19,141.02,141.18,141.27,141.03
04/12/17 13:00,141.02,141.13,141.01,141.07,141.27,
04/12/17 12:00,141.27,141.28,140.99,141.03,,141.04
04/12/17 11:00,141.2,141.29,141.17,141.27,141.24,141.04
04/12/17 10:00,141.25,141.32,141.14,141.19,,141.04
04/12/17 09:00,141.21,141.34,141.17,141.24,141.28,141.04
04/12/17 08:00,141.03,141.22,141.01,141.21,141.28,
04/12/17 07:00,141.1,141.25,140.94,141.04,141.28,
01/12/17 17:00,141.28,141.34,141.15,141.18,141.29,141.14
01/12/17 16:00,141.12,141.66,141.12,141.27,141.29,
01/12/17 15:00,141.28,141.35,141.08,141.14,141.29,141.2
01/12/17 14:00,141.2,141.33,141.2,141.28,141.32,140.84
01/12/17 13:00,141.3,141.33,141.17,141.2,141.32,140.84
01/12/17 12:00,141.25,141.37,141.19,141.29,141.32,140.84
01/12/17 11:00,141.33,141.43,141.23,141.25,,140.84
01/12/17 10:00,141.03,141.37,141.03,141.32,,140.84
01/12/17 09:00,140.94,141.13,140.93,141.03,,140.84
01/12/17 08:00,140.85,141.08,140.81,140.94,140.94,140.84
01/12/17 07:00,140.98,140.98,140.7,140.84,,140.85
30/11/17 17:00,140.94,140.95,140.87,140.87,,140.57
30/11/17 16:00,140.88,141.01,140.79,140.94,,140.57
30/11/17 15:00,140.86,140.96,140.8,140.88,,140.52
30/11/17 14:00,140.57,140.94,140.56,140.85,140.62,140.52
30/11/17 13:00,140.58,140.62,140.53,140.57,140.62,140.23
30/11/17 12:00,140.53,140.62,140.44,140.59,140.62,140.23
30/11/17 11:00,140.62,140.63,140.46,140.52,,140.23
30/11/17 10:00,140.51,140.7,140.51,140.62,,140.23
30/11/17 09:00,140.34,140.51,140.23,140.51,,140.23
30/11/17 08:00,140.24,140.41,140.2,140.34,140.34,140.15
30/11/17 07:00,140.4,140.4,140.22,140.23,,140.15
29/11/17 17:00,140.29,140.34,140.23,140.34,140.59,140.15
29/11/17 16:00,140.15,140.3,140.11,140.29,140.59,
29/11/17 15:00,140.19,140.29,140.13,140.15,140.59,
29/11/17 14:00,140.32,140.36,140.17,140.19,140.59,
29/11/17 13:00,140.58,140.58,140.29,140.32,140.59,140.37
29/11/17 12:00,140.54,140.64,140.54,140.59,,140.37
29/11/17 11:00,140.49,140.68,140.48,140.54,140.52,140.37
29/11/17 10:00,140.42,140.56,140.39,140.49,140.52,140.37
29/11/17 09:00,140.41,140.49,140.33,140.42,140.52,140.37
29/11/17 08:00,140.37,140.46,140.3,140.41,140.52,
29/11/17 07:00,140.42,140.52,140.36,140.37,140.52,140.41
28/11/17 17:00,140.5,140.52,140.45,140.52,140.59,140.41
28/11/17 16:00,140.44,140.51,140.43,140.49,140.59,140.41
28/11/17 15:00,140.41,140.49,140.34,140.45,140.59,
28/11/17 14:00,140.57,140.62,140.41,140.41,140.65,140.56
28/11/17 13:00,140.59,140.61,140.52,140.56,140.75,140.56
28/11/17 12:00,140.57,140.6,140.5,140.59,140.75,140.43
28/11/17 11:00,140.66,140.66,140.55,140.56,140.75,140.43
28/11/17 10:00,140.75,140.81,140.65,140.65,,140.43
28/11/17 09:00,140.54,140.76,140.46,140.75,,140.43
28/11/17 08:00,140.42,140.59,140.34,140.54,140.48,140.3
28/11/17 07:00,140.41,140.5,140.41,140.43,140.48,140.28
27/11/17 17:00,140.45,140.5,140.45,140.48,,140.28
27/11/17 16:00,140.3,140.48,140.29,140.46,140.42,140.28
27/11/17 15:00,140.28,140.32,140.22,140.3,140.42,
27/11/17 14:00,140.28,140.33,140.16,140.28,140.42,140.14
27/11/17 13:00,140.34,140.34,140.24,140.28,140.42,140.14
27/11/17 12:00,140.38,140.43,140.25,140.34,140.42,140.14
27/11/17 11:00,140.42,140.45,140.36,140.38,,140.14
27/11/17 10:00,140.41,140.53,140.38,140.42,,140.14
27/11/17 09:00,140.26,140.42,140.24,140.41,,139.86
27/11/17 08:00,140.2,140.42,140.18,140.27,,139.86
27/11/17 07:00,140.12,140.24,139.99,140.2,140.14,139.86
24/11/17 17:00,140.05,140.2,140.04,140.14,,139.86
24/11/17 16:00,139.86,140.07,139.82,140.05,139.93,139.81
24/11/17 15:00,139.92,139.93,139.85,139.86,140.26,139.81
24/11/17 14:00,139.88,139.96,139.87,139.93,140.26,139.81
24/11/17 13:00,139.81,139.94,139.81,139.88,140.26,
24/11/17 12:00,140.27,140.28,139.8,139.81,,140.06
24/11/17 11:00,140.18,140.27,140.12,140.26,140.39,140.06
24/11/17 10:00,140.11,140.33,140.11,140.18,140.39,140.06
24/11/17 09:00,140.06,140.14,139.98,140.1,140.39,
24/11/17 08:00,140.35,140.36,139.98,140.06,140.39,140.27
24/11/17 07:00,140.26,140.4,140.26,140.36,140.39,
23/11/17 17:00,140.39,140.4,140.35,140.36,,140.27
23/11/17 16:00,140.38,140.42,140.36,140.39,140.49,140.27
23/11/17 15:00,140.28,140.39,140.28,140.38,140.49,140.27
23/11/17 14:00,140.27,140.32,140.27,140.28,140.49,140.25
23/11/17 13:00,140.28,140.32,140.24,140.27,140.49,140.25
23/11/17 12:00,140.31,140.37,140.26,140.28,140.56,140.25
23/11/17 11:00,140.25,140.33,140.17,140.31,140.56,
23/11/17 10:00,140.48,140.49,140.21,140.25,140.56,140.35
23/11/17 09:00,140.39,140.5,140.36,140.49,140.56,140.35
23/11/17 08:00,140.54,140.59,140.26,140.39,140.56,140.35
23/11/17 07:00,140.37,140.6,140.37,140.56,140.51,140.35
22/11/17 17:00,140.51,140.54,140.41,140.41,,140.24
22/11/17 16:00,140.35,140.52,140.35,140.51,,140.24
22/11/17 15:00,140.36,140.47,140.32,140.35,,140.11
22/11/17 14:00,140.24,140.41,140.24,140.36,,140.11
22/11/17 13:00,140.29,140.32,140.23,140.24,140.39,140.04
22/11/17 12:00,140.11,140.31,140.08,140.28,140.39,140.04
22/11/17 11:00,140.11,140.15,140.03,140.11,140.39,140.04
22/11/17 10:00,140.04,140.23,140,140.11,140.39,
22/11/17 09:00,140.12,140.13,139.93,140.04,140.39,
22/11/17 08:00,140.39,140.44,140.08,140.13,,140.21
22/11/17 07:00,140.31,140.48,140.26,140.39,,140.21
21/11/17 17:00,140.28,140.32,140.23,140.27,140.29,140.2
21/11/17 16:00,140.22,140.34,140.16,140.29,140.29,140.2
21/11/17 15:00,140.29,140.37,140.13,140.21,,140.2
21/11/17 14:00,140.25,140.37,140.25,140.29,140.51,140.2
21/11/17 13:00,140.21,140.39,140.2,140.25,140.51,140.2
21/11/17 12:00,140.27,140.31,140.13,140.2,140.51,139.91
21/11/17 11:00,140.52,140.55,140.24,140.28,,139.91
21/11/17 10:00,140.36,140.62,140.35,140.51,,139.91
21/11/17 09:00,140.14,140.39,140.08,140.37,,139.88
21/11/17 08:00,140.09,140.18,139.99,140.13,,139.78
21/11/17 07:00,139.99,140.16,139.91,140.1,,139.59
20/11/17 17:00,139.87,139.98,139.84,139.91,,139.57
20/11/17 16:00,139.77,139.88,139.76,139.88,,139.57
20/11/17 15:00,139.6,139.85,139.6,139.78,,139.52
20/11/17 14:00,139.56,139.63,139.55,139.59,139.6,139.52
20/11/17 13:00,139.64,139.7,139.53,139.57,,139.52
20/11/17 12:00,139.52,139.65,139.51,139.65,139.6,
20/11/17 11:00,139.57,139.59,139.5,139.52,139.6,139.46
20/11/17 10:00,139.61,139.65,139.55,139.57,,139.46
20/11/17 09:00,139.54,139.64,139.52,139.6,,139.46
20/11/17 08:00,139.54,139.56,139.46,139.54,,139.46
20/11/17 07:00,139.54,139.57,139.44,139.54,,139.46
17/11/17 17:00,139.46,139.51,139.45,139.46,139.66,
17/11/17 16:00,139.47,139.51,139.45,139.46,139.66,139.28
17/11/17 15:00,139.47,139.53,139.41,139.47,139.66,139.28
17/11/17 14:00,139.58,139.6,139.45,139.46,139.66,139.28
17/11/17 13:00,139.66,139.68,139.46,139.58,,139.28
17/11/17 12:00,139.61,139.72,139.56,139.66,,139.28
17/11/17 11:00,139.6,139.71,139.55,139.6,,139.28
17/11/17 10:00,139.45,139.6,139.34,139.59,139.49,139.28
17/11/17 09:00,139.28,139.48,139.15,139.45,139.49,
17/11/17 08:00,139.47,139.51,139.23,139.28,139.49,139.34
17/11/17 07:00,139.59,139.59,139.45,139.47,,139.34
16/11/17 17:00,139.44,139.52,139.43,139.49,139.48,139.34
16/11/17 16:00,139.43,139.48,139.41,139.43,139.48,139.33
16/11/17 15:00,139.34,139.46,139.33,139.42,139.48,139.21
16/11/17 14:00,139.48,139.48,139.29,139.34,,139.21
16/11/17 13:00,139.33,139.52,139.33,139.48,139.43,139.21
16/11/17 12:00,139.21,139.36,139.17,139.33,139.43,
16/11/17 11:00,139.21,139.4,139.2,139.21,139.62,
16/11/17 10:00,139.38,139.4,139.17,139.21,139.62,
16/11/17 09:00,139.43,139.52,139.32,139.38,139.62,
16/11/17 08:00,139.48,139.66,139.43,139.43,139.63,
16/11/17 07:00,139.62,139.71,139.47,139.47,139.73,139.49
15/11/17 17:00,139.49,139.63,139.48,139.62,139.8,
15/11/17 16:00,139.63,139.71,139.43,139.49,139.8,
15/11/17 15:00,139.74,139.79,139.6,139.63,139.8,139.72
15/11/17 14:00,139.77,139.79,139.67,139.73,139.9,139.72
15/11/17 13:00,139.81,139.96,139.72,139.77,139.9,139.72
15/11/17 12:00,139.72,139.87,139.7,139.8,139.9,139.55
15/11/17 11:00,139.9,139.95,139.72,139.72,,139.55
15/11/17 10:00,139.8,139.92,139.74,139.9,,139.55
15/11/17 09:00,139.55,139.84,139.52,139.8,139.71,139.53
15/11/17 08:00,139.71,139.73,139.41,139.55,,139.53
15/11/17 07:00,139.75,139.78,139.59,139.71,139.79,139.53
14/11/17 17:00,139.54,139.61,139.52,139.57,139.79,
14/11/17 16:00,139.62,139.65,139.51,139.53,139.79,
14/11/17 15:00,139.65,139.68,139.58,139.62,139.79,
14/11/17 14:00,139.67,139.71,139.55,139.65,139.79,
14/11/17 13:00,139.8,139.83,139.66,139.66,,139.7
14/11/17 12:00,139.71,139.81,139.66,139.79,139.78,139.36
14/11/17 11:00,139.71,139.82,139.69,139.71,,139.36
14/11/17 10:00,139.78,139.8,139.62,139.7,,139.36
14/11/17 09:00,139.7,139.81,139.56,139.78,,139.36
14/11/17 08:00,139.36,139.79,139.29,139.7,139.44,
14/11/17 07:00,139.28,139.42,139.26,139.36,139.44,
13/11/17 17:00,139.45,139.48,139.36,139.36,,139.38
13/11/17 16:00,139.43,139.49,139.4,139.44,139.75,139.38
13/11/17 15:00,139.4,139.54,139.39,139.43,139.75,139.38
13/11/17 14:00,139.37,139.47,139.34,139.41,139.75,139.27
13/11/17 13:00,139.55,139.6,139.3,139.38,139.75,139.27
13/11/17 12:00,139.69,139.71,139.54,139.54,139.75,139.27
13/11/17 11:00,139.7,139.71,139.59,139.69,139.75,139.27
13/11/17 10:00,139.75,139.78,139.67,139.7,,139.27
13/11/17 09:00,139.5,139.77,139.38,139.75,139.74,139.26
13/11/17 08:00,139.36,139.52,139.36,139.5,139.74,139.26
13/11/17 07:00,139.29,139.43,139.29,139.36,139.74,139.26
10/11/17 17:00,139.26,139.31,139.17,139.27,139.74,
10/11/17 16:00,139.29,139.38,139.14,139.26,139.74,
10/11/17 15:00,139.65,139.68,139.29,139.29,139.85,139.27
10/11/17 14:00,139.63,139.74,139.59,139.66,139.85,139.27
10/11/17 13:00,139.73,139.74,139.54,139.63,139.85,139.27
10/11/17 12:00,139.85,139.87,139.67,139.74,,139.27
10/11/17 11:00,139.71,139.87,139.68,139.85,,139.27
10/11/17 10:00,139.59,139.72,139.51,139.7,139.7,139.27
10/11/17 09:00,139.42,139.7,139.41,139.59,139.7,139.27
10/11/17 08:00,139.28,139.51,139.19,139.42,139.7,
10/11/17 07:00,139.55,139.6,139.22,139.27,139.7,139.49
09/11/17 17:00,139.63,139.7,139.6,139.7,140.18,139.49
09/11/17 16:00,139.5,139.64,139.49,139.64,140.18,139.49
09/11/17 15:00,139.54,139.65,139.39,139.5,140.18,139.49
09/11/17 14:00,139.48,139.57,139.36,139.55,140.18,
09/11/17 13:00,139.74,139.82,139.43,139.49,140.45,
09/11/17 12:00,139.71,139.82,139.47,139.74,140.45,
09/11/17 11:00,140.17,140.25,139.64,139.7,140.63,
09/11/17 10:00,140.45,140.48,140.17,140.18,140.63,
09/11/17 09:00,140.33,140.49,140.19,140.45,140.63,
09/11/17 08:00,140.63,140.68,140.34,140.34,140.69,140.52
09/11/17 07:00,140.63,140.67,140.55,140.63,140.7,140.52
08/11/17 17:00,140.53,140.54,140.46,140.53,140.7,
08/11/17 16:00,140.7,140.71,140.52,140.52,140.85,140.6
08/11/17 15:00,140.6,140.8,140.56,140.69,140.85,
08/11/17 14:00,140.7,140.74,140.55,140.6,140.85,
08/11/17 13:00,140.85,140.9,140.69,140.7,,140.75
08/11/17 12:00,140.8,140.87,140.75,140.85,141.09,140.75
08/11/17 11:00,140.75,140.87,140.72,140.8,141.09,
08/11/17 10:00,140.76,140.77,140.5,140.75,141.09,
08/11/17 09:00,140.86,140.87,140.62,140.75,141.09,
08/11/17 08:00,141.09,141.09,140.83,140.85,,140.91
08/11/17 07:00,141.04,141.19,141,141.09,141.08,140.91
07/11/17 17:00,141.08,141.09,141.01,141.05,,140.68
07/11/17 16:00,141.03,141.12,140.96,141.08,,140.68
07/11/17 15:00,140.91,141.09,140.89,141.04,,140.68
07/11/17 14:00,140.88,140.93,140.74,140.91,,140.37
07/11/17 13:00,140.67,141.07,140.67,140.88,,140.37
07/11/17 12:00,140.67,140.76,140.59,140.68,,140.17
07/11/17 11:00,140.71,140.85,140.59,140.68,,140.17
07/11/17 10:00,140.38,140.76,140.31,140.71,,140.08
07/11/17 09:00,140.17,140.38,140.15,140.37,,140.07
07/11/17 08:00,140.17,140.27,140.03,140.17,,140.05
07/11/17 07:00,140.11,140.22,140.01,140.17,140.14,140.05
06/11/17 17:00,140.05,140.14,140.05,140.08,140.14,
06/11/17 16:00,140.05,140.13,140.03,140.07,140.14,140.03
06/11/17 15:00,140.14,140.14,140.03,140.05,,140.03
06/11/17 14:00,140.07,140.15,140.06,140.14,140.11,140.03
06/11/17 13:00,140.04,140.11,139.98,140.07,140.11,140.03
06/11/17 12:00,140.05,140.09,139.99,140.03,140.19,139.89
06/11/17 11:00,140.03,140.09,139.92,140.04,140.19,139.89
06/11/17 10:00,140.11,140.17,140.03,140.05,140.19,139.89
06/11/17 09:00,140.19,140.29,139.99,140.11,,139.89
06/11/17 08:00,140.06,140.24,140.03,140.19,,139.88
06/11/17 07:00,139.99,140.19,139.94,140.05,,139.87
03/11/17 17:00,139.89,139.98,139.84,139.94,139.93,139.86
03/11/17 16:00,139.88,139.98,139.88,139.89,140.07,139.86
03/11/17 15:00,139.87,140,139.86,139.88,140.07,139.86
03/11/17 14:00,139.92,139.96,139.85,139.87,140.07,139.89
03/11/17 13:00,139.86,139.97,139.75,139.93,140.07,
03/11/17 12:00,139.9,140.1,139.82,139.86,140.14,139.89
03/11/17 11:00,139.98,140,139.85,139.89,140.14,139.88
03/11/17 10:00,140.07,140.14,139.93,139.98,140.14,139.88
03/11/17 09:00,140.14,140.24,140,140.07,,139.88
03/11/17 08:00,139.96,140.22,139.95,140.14,,139.84
03/11/17 07:00,139.92,140.09,139.88,139.95,,139.69
02/11/17 17:00,139.9,139.94,139.88,139.88,,139.68
02/11/17 16:00,139.85,139.91,139.79,139.91,,139.68
02/11/17 15:00,139.7,139.86,139.69,139.84,,139.64
02/11/17 14:00,139.68,139.79,139.66,139.69,139.87,139.64
02/11/17 13:00,139.81,139.85,139.65,139.68,139.87,139.64
02/11/17 12:00,139.65,139.84,139.65,139.81,139.87,139.64
02/11/17 11:00,139.77,139.81,139.62,139.64,139.87,139.73
02/11/17 10:00,139.79,139.82,139.57,139.77,139.87,139.73
02/11/17 09:00,139.82,139.9,139.73,139.8,139.87,139.73
02/11/17 08:00,139.81,139.97,139.73,139.82,139.87,139.73
02/11/17 07:00,139.84,139.9,139.78,139.82,139.87,139.71
01/11/17 17:00,139.87,139.89,139.85,139.87,,139.71
01/11/17 16:00,139.74,139.9,139.73,139.86,139.83,139.71
01/11/17 15:00,139.71,139.78,139.64,139.73,139.83,139.67
